link,courseid,coursename,Coursetitle,lessonID,lessonname,Corresponding folder name,Corresponding file name in the folder
https://www.michaelmanagement.com/files/training/PS101/ps101_02/imsmanifest.xml,61,PS101,SAP Project System - Project Builder,ps101_02,Project Builder - Create Network Activity,PS101-html5.zip,
https://www.michaelmanagement.com/files/training/PS101/ps101_08/imsmanifest.xml,61,PS101,SAP Project System - Project Builder,ps101_08,Project Reports,PS101-html5.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_02/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_02,Navigating SAP using the menu tree,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_05/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_05,"User menu, Favorites & User Settings",SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_03/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_03,Searching the SAP menu tree,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_04/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_04,Navigating SAP via transaction codes,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_08/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_08,Basic Reporting,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_11/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_11,Working with Master Data - Create Vendor,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_12/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_12,Working with Master Data - Create Contract,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_14/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_14,Posting Transactions - Goods Receipt,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_07/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_07,Printing in SAP,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_13/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_13,Posting Transactions - Customer Invoice,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_15/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_15,Running Reports - Customer Balances,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_16/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_16,Running Reports - Stock Overview,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SAP101/sap101_01/imsmanifest.xml,168,SAP101,Basic SAP Skills for Beginners,sap101_01,SAP Graphical User Interface,SAP101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_00/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_00,General Ledger Accounting Overview,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_02/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_02,Enter G/L document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_02a/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_02a,Reverse document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_03/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_03,Search and Display document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_04/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_04,Display account balances,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_05/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_05,Display account line items,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_06/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_06,Park document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_07/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_07,Post parked document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_08/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_08,Open & Close posting period,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_09/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_09,Balance Sheet Report & Profit/Loss Statement,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_10/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_10,Cash Flow Statement,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIGL101/figl101_01/imsmanifest.xml,180,FIGL101,SAP General Ledger Accounting,figl101_01,Create G/L account,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_01/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_01,Create customer master record,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_02/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_02,Change/Display customer master record,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_04/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_04,Display changes,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_05/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_05,Post invoice,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_06/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_06,Display document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_08/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_08,Post incoming payment with automatic clearing,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_10/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_10,Post incoming payment in foreign currency,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_11/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_11,Dunning run,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_12/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_12,Open Item list,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_13/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_13,Account Receivable Info System,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_15/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_15,Customer List,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_07/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_07,Display account balance/line items,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAR101/fiar101_09/imsmanifest.xml,181,FIAR101,SAP Accounts Receivable Accounting,fiar101_09,Post incoming payment with minor variance,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_06/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_06,Post vendor invoice,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_07/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_07,Display document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_08/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_08,Display account balance/line items,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_09/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_09,Post outgoing payment with automatic clearing,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_10/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_10,Post outgoing payment with minor variance,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_11/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_11,Post outgoing payment and print check,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_12/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_12,Payment run,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_12a/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_12a,Void check,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_14/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_14,Vendor Balances,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_01/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_01,Create vendor master record,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_02/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_02,Change/Display vendor master record,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_03/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_03,Change vendor with confirmation,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_04/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_04,Block/Unblock vendor,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_15/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_15,Vendor List & Address List,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/FIAP101/fiap101_13/imsmanifest.xml,182,FIAP101,SAP Accounts Payable Accounting,fiap101_13,Vendor Information System,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_01/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_01,Maintain Info Record,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_02/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_02,Master Data - Source List,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_03/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_03,Create Purchase Requisition,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_04/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_04,List Display of Purchase Requisitions,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_05/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_05,Assign Source of Supply,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_06/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_06,Create Purchase Order w/ Reference,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_07/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_07,Create Purchase Order Vendor known,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_08/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_08,Create Purchase Order Vendor unknown,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_09/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_09,Purchase Order report,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_10/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_10,Goods Receipt,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_11/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_11,Goods Receipt with variance,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM101/mm101_12/imsmanifest.xml,188,MM101,SAP Purchasing,mm101_12,Logistics Invoice Verification,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/SD101/sd101_01/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_01,Maintain customer,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_02/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_02,Create contact person,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_03/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_03,Update Pricing Conditions,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_04/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_04,Create Contract,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_05/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_05,Create Inquiry,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_06/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_06,Create Quotation,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_07/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_07,Create Sales Order,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_08/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_08,Outbound delivery,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_09/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_09,Create Customer Billing,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_10/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_10,Sales Order report,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_11/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_11,Sales Information System - Customer Analysis,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/SD101/sd101_12/imsmanifest.xml,190,SD101,SAP Sales and Distribution,sd101_12,Sales Information System - Sales Organization Analysis,SD101_HTML5-MMC-001.zip,
https://www.michaelmanagement.com/files/training/MM102/mm102_01/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_01,Goods Movement w/ PO,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_02/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_02,Goods Receipt w/o PO,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_04/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_04,Reservation List,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_06/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_06,Stock Transfer between storage locations,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_07/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_07,Stock Transfer between plants,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_08/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_08,Display Material document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_09/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_09,Display Physical Inventory Document,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_10/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_10,Enter Physical Inventory Count,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_11/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_11,Enter Physical Inventory Difference,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_12/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_12,Stock Overview report,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_13/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_13,Plant Stock Availability,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/MM102/mm102_14/imsmanifest.xml,199,MM102,SAP Inventory Management,mm102_14,Warehouse Stock,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CO101/co101_05/imsmanifest.xml,204,CO101,SAP Cost Center Accounting,co101_05,Cost center budgets,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/BC101/bc101_09/imsmanifest.xml,218,BC101,Basic SAP System Administration,bc101_09,SCCL - Client copy,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/PP101/pp101_04/imsmanifest.xml,219,PP101,SAP Production Planning - Discrete Manufacturing,pp101_04,Create Work Center,PP101 _html5.zip,
https://www.michaelmanagement.com/files/training/PP101/pp101_15/imsmanifest.xml,219,PP101,SAP Production Planning - Discrete Manufacturing,pp101_15,Capacity leveling,PP101 _html5.zip,
https://www.michaelmanagement.com/files/training/BI101/bi101_04/imsmanifest.xml,220,BI101,SAP BI BEx Analyzer,bi101_04,Setting Query Variables and Filters,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/BI101/bi101_05/imsmanifest.xml,220,BI101,SAP BI BEx Analyzer,bi101_05,Query Properties and Characteristics,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CON101/con101_02/imsmanifest.xml,221,CON101,Introduction to SAP Configuration,con101_02,Project Administration - Create new Project,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
